fid,cat,field_1,X,stream,reach,seq_order,channel_ty,latitude,longitude,unit_lengt,wetted_wid,max_depth_,pool_crest,LWD_small,LWD_med,LWD_large,root_debri,riparian_s,total_shad,fish_prese,undercut_L,undercut_R,sand,gravel,cobble,boulder,bedrock,dominantSi,dominant_1,understory,understo_1,understo_2,understo_3,understo_4,understo_5,overstoryV,overstor_1,overstor_2,overstor_3,overstor_4,overstor_5,overstor_6,overstor_7,riverDist
"11","11","11","11",Mahogany Creek,MC1-116,"6",FNRN4,41.5339750127193,-119.049428241641,"11.5","0.91","0.27",NA,"0","0","0","0","24","24",N,"0","1.63","60","38","2","0","0",GF,GF,"10","15","75","3","87","10","0","0","0","0","0","0","0","0",1716.27064928162
"12","12","12","12",Mahogany Creek,MC1-116,"7",FTRF5,41.5339126420807,-119.049390311975,"1.8","1.09","0.31",NA,"0","0","0","0","7","7",N,"0.45","0","50","45","5","0","0",GF,GF,"5","45","50","0","30","70","1","0","0","0","0","0","0","0",1716.99177440247
"13","13","13","13",Mahogany Creek,MC1-116,"8",SSLS3,41.5338856371984,-119.049389459229,"1.2","0.98","0.22","0.25","0","0","0","0","23","23",N,"1.3","0","65","33","2","0","0",SS,GF,"25","40","35","2","85","13","30","0","0","0","0","0","0","0",1716.04759160452
"14","14","14","14",Mahogany Creek,MC1-116,"9",FNRN6,41.5338946388258,-119.049389743478,"9.7","1.29","0.26",NA,"0","0","0","0","17","17",N,"8.5","0","70","30","0","0","0",SS,GF,"25","45","30","0","90","10","35","0","0","0","0","0","0","0",1716.36231820309
"15","15","15","15",Mahogany Creek,MC1-116,"10",SSLS4,41.533940928433,-119.049319284918,"2.8","0.94","0.46","0.32","0","0","0","0","15","15",N,"0","2.5","70","28","2","0","0",SS,GF,"1","55","44","0","95","5","0","0","0","0","0","0","0","0",1723.7843429624
"16","16","16","16",Mahogany Creek,MC1-116,"11",FNRN7,41.5339582909586,-119.04935579331,"16.6","0.79","0.37",NA,"0","0","0","0","25","25",N,"3.5","2","55","45","0","0","0",SS,GF,"1","39","60","2","78","20","0","0","0","0","0","0","0","0",1721.48959158634
"17","17","17","17",Mahogany Creek,MC1-116,"12",SSLS5,41.5340397327613,-119.049334391545,"4.1","1.82","0.37","0.34","0","0","0","0","29","29",N,"6.5","0","70","30","0","0","0",SS,GF,"0","85","15","1","65","34","0","0","0","0","0","0","0","0",1726.27159059622
"18","18","18","18",Mahogany Creek,MC1-116,"13",FNRN8,41.5340303039782,-119.049358067271,"4.95","0.69","0.33",NA,"0","0","0","0","23","23",N,"0","0","50","50","0","0","0",SS,GF,"0","85","15","1","69","30","0","0","0","0","0","0","0","0",1724.00741126247
"19","19","19","19",Mahogany Creek,MC1-116,"14",FNRN9,41.534084954475,-119.049323832765,"11.4","0.6","0.32",NA,"0","0","0","0","4","4",N,"3","0","60","40","0","0","0",SS,GF,"0","85","15","0","40","60","0","0","0","0","0","0","0","0",1728.81997591257
"20","20","20","20",Mahogany Creek,MC1-116,"15",SSLS6,41.534105093426,-119.049204601265,"3.6","0.6","0.36","0.43","0","0","0","0","21","21",N,"0","2.5","60","40","0","0","0",GF,GF,"0","40","60","1","25","74","0","0","0","0","0","0","0","0",1762.65490610611
"21","21","21","21",Mahogany Creek,MC1-116,"16",FNRN10,41.534096518922,-119.049180357046,"3.9","0.7","0.26",NA,"0","0","0","0","30","30",N,"0","0.8","60","40","0","0","0",SS,GF,"0","40","60","0","65","35","0","0","0","0","0","0","0","0",1762.53123999051
"22","22","22","22",Mahogany Creek,MC1-116,"17",SSLS7,41.5340607259686,-119.049167240169,"4.1","1.2","0.35","0.43","0","0","0","0","17","17",N,"0.5","0","80","20","0","0","0",SS,GF,"0","70","30","0","95","5","0","0","0","0","0","0","0","0",1759.21646406185
"23","23","23","23",Mahogany Creek,MC1-116,"18",FNRN11,41.5340418684651,-119.04921459168,"6.8","0.86","0.34",NA,"0","0","0","0","8","8",N,"2.3","0","60","40","0","0","0",SS,GF,"3","77","20","0","95","5","1","0","0","0","0","0","0","0",1736.01892173856
"24","24","24","24",Mahogany Creek,MC1-116,"19",SSMC8,41.5340060755155,-119.049201474797,"14.8","0.47","0.44","0.41","0","0","0","0","14","14",N,"5.5","0","70","30","0","0","0",SS,GF,"10","85","5","0","80","20","55","0","0","0","0","0","0","0",1735.73474032774
"25","25","25","25",Mahogany Creek,MC1-116,"20",FNRN12,41.5340350024154,-119.049094507592,"9.2","0.64","0.26",NA,"0","0","0","0","28","28",N,"0","0","70","29","1","0","0",SS,GF,"20","75","5","0","50","50","30","0","0","0","0","0","0","0",1758.84558779146
"26","26","26","26",Mahogany Creek,MC1-206,"31",SSLS1,41.5421971403054,-119.03783156261,"5.8","1.8","0.3","0.53","0","0","0","0","28","28",Y,"1.8","2.25","85","15","0","0","0",GF,GF,"1","65","34","50","45","5","0","0","0","0","0","0","0","0",3208.80602973119
"27","27","27","27",Mahogany Creek,MC1-206,"32",FNRN1,41.542215143664,-119.037832128068,"10.1","0.88","0.29",NA,"0","0","0","0","13","13",N,"6","0.8","80","20","0","0","0",GF,GF,"1","63","36","70","25","5","0","0","0","0","0","0","0","0",3210.70904482245
"28","28","28","28",Mahogany Creek,MC1-206,"33",FNRN2,41.5421898378828,-119.037735427272,"28.9","0.9","0.32",NA,"0","0","0","0","21","21",N,"10","8.5","75","25","0","0","0",GF,GF,"75","22","3","45","50","5","3","5","0","2","0","15","0","0",3210.54000053937
"29","29","29","29",Mahogany Creek,MC1-206,"34",SSMC2,41.5422468214747,-119.037569381339,"1.95","1.78","0.29","0.32","0","0","0","0","28","28",N,"1.2","1","70","30","0","0","0",SS,GF,"50","45","5","60","37","3","0","55","0","0","0","0","0","0",3220.94887520744
"30","30","30","30",Mahogany Creek,MC1-206,"35",FNRN3,41.5422648248361,-119.037569946725,"17.6","1.2","0.24",NA,"0","0","0","0","34","34",N,"8","3","75","25","0","0","0",SS,GF,"50","45","5","65","30","5","0","45","0","0","0","0","0","0",3222.85188089881
"31","31","31","31",Mahogany Creek,MC1-206,"36",SSLS3,41.5423998500446,-119.037574187135,"3.15","1.35","0.26","0.3","0","0","0","0","26","26",N,"0","1","70","30","0","0","0",SS,GF,"40","50","10","60","38","2","0","30","0","5","0","0","0","0",3227.38067805002
"32","32","32","32",Mahogany Creek,MC1-206,"37",FNRN4,41.5424174286303,-119.037598715765,"10.3","1","0.24",NA,"0","0","0","0","81","81",N,"0","0","60","40","0","0","0",SS,GF,"30","67","3","65","32","3","0","50","0","20","0","0","0","0",3227.38067805002
"33","33","33","33",Mahogany Creek,MC1-206,"38",SSMC4,41.5424727130245,-119.037528522178,"7.9","0.87","0.28","0.35","0","0","0","0","86","86",N,"0","0.5","75","25","0","0","0",SS,GF,"60","35","5","70","30","0","0","0","0","90","0","0","0","5",3227.38067805002
"34","34","34","34",Mahogany Creek,MC1-206,"39",FNRN5,41.5424557715557,-119.037468048662,"8.6","1.5","0.2",NA,"0","0","0","0","92","92",Y,"0.6","2.5","75","25","0","0","0",SS,GF,"65","30","5","70","25","5","0","75","0","0","0","0","0","0",3232.16960031975
"35","35","35","35",Mahogany Creek,MC1-206,"40",FTRF6,41.5423571778109,-119.037440975962,"46.7","1.2","0.22",NA,"0","0","0","0","12","12",Y,"7.9","2.5","50","45","5","0","0",SS,GF,"60","37","3","60","35","5","5","40","0","5","0","0","0","0",3233.83220696715
"36","36","36","36",Mahogany Creek,MC1-206,"40",FTRF6,41.5423571778109,-119.037440975962,"46.7","1.2","0.22",NA,"0","0","0","0","12","12",Y,"7.9","2.5","50","45","5","0","0",SS,GF,"60","37","3","60","35","5","5","40","0","5","0","0","0","0",3233.83220696715
"37","37","37","37",Mahogany Creek,MC1-206,"40",FTRF6,41.5423571778109,-119.037440975962,"46.7","1.2","0.22",NA,"0","0","0","0","12","12",Y,"7.9","2.5","50","45","5","0","0",SS,GF,"60","37","3","60","35","5","5","40","0","5","0","0","0","0",3233.83220696715
"38","38","38","38",Mahogany Creek,MC1-206,"40",FTRF6,41.5423571778109,-119.037440975962,"46.7","1.2","0.22",NA,"0","0","0","0","12","12",Y,"7.9","2.5","50","45","5","0","0",SS,GF,"60","37","3","60","35","5","5","40","0","5","0","0","0","0",3233.83220696715
"39","39","39","39",Mahogany Creek,MC1-206,"40",FTRF6,41.5423571778109,-119.037440975962,"46.7","1.2","0.22",NA,"0","0","0","0","12","12",Y,"7.9","2.5","50","45","5","0","0",SS,GF,"60","37","3","60","35","5","5","40","0","5","0","0","0","0",3233.83220696715
"40","40","40","40",Mahogany Creek,MC1-206,"41",SSMC5,41.5424284711617,-119.036975671364,"9","1.4","0.29","0.25","0","0","0","0","1","1",Y,"0","0","60","35","5","0","0",GF,GF,"45","50","5","30","10","60","15","0","0","10","0","0","0","0",3273.06507063426
"41","41","41","41",Mahogany Creek,MC1-206,"42",SSPL6,41.5424580240127,-119.036832739615,"3.7","3.26","0.54","0.4","0","1","0","0","79","79",Y,"0","0","73","25","2","0","0",SS,GF,"20","75","5","10","35","55","20","0","0","15","0","5","0","0",3285.16280724509
"42","42","42","42",Mahogany Creek,MC1-206,"43",ARTIF1,41.542476664304,-119.036797359891,"8.5","2.43",NA,NA,"0","0","0","0","1","1",N,"0","0","88","12","0","0","0",GF,GF,"50","48","2","25","60","15","30","0","0","1","0","3","0","3",3288.22572597404
"43","43","43","43",Mahogany Creek,MC1-206,"44",FTRF7,41.5424689364298,-119.03672518749,"8","1.05","0.27",NA,"0","0","0","0","18","18",Y,"2","0","59","40","1","0","0",GF,GF,"25","73","2","45","50","5","1","0","0","0","0","20","0","10",3294.19758062629
"44","44","44","44",Mahogany Creek,MC1-206,"45",SSLS7,41.542479848747,-119.036617635326,"8.3","1.6","0.29","0.37","0","0","0","0","48","48",N,"0","4.5","60","35","0","0","0",GF,GF,"25","73","2","90","4","6","0","0","0","15","0","60","0","30",3303.2324198864
"45","45","45","45",Mahogany Creek,MC1-206,"46",FTRF8,41.5424995503743,-119.036522347313,"15.5","1.35","0.15",NA,"0","0","0","0","1","1",N,"4","0","50","48","2","0","0",GF,GF,"40","57","3","50","45","5","5","1","0","0","0","20","0","10",3311.29755031655
"46","46","46","46",Mahogany Creek,MC1-206,"47",SSMC8,41.5425117360761,-119.03634290518,"5","1.6","0.37","0.16","0","0","0","0","1","1",Y,"2.1","0","50","49","1","0","0",SS,GF,"45","48","7","55","40","5","3","0","0","0","0","0","0","0",3332.45713158816
"47","47","47","47",Mahogany Creek,MC1-206,"48",FTRF9,41.542513221854,-119.036259033651,"5.75","2.07","0.14",NA,"0","0","0","0","34","34",N,"0.33","0","28","70","2","0","0",SS,GF,"40","50","10","40","59","1","10","0","0","0","0","0","0","8",3338.95629518733
"48","48","48","48",Mahogany Creek,MC1-206,"48",FTRF9,41.542513221854,-119.036259033651,"5.75","2.07","0.14",NA,"0","0","0","0","34","34",N,"0.33","0","28","70","2","0","0",SS,GF,"40","50","10","40","59","1","10","0","0","0","0","0","0","8",3338.95629518733
"49","49","49","49",Mahogany Creek,MC1-206,"49",SSMC9,41.5425320742183,-119.036211672074,"5","1.28","0.41","0.31","0","0","0","0","5","5",N,"2.5","0","660","35","5","0","0",SS,GF,"40","58","2","50","48","2","20","0","0","0","0","0","0","3",3343.59143663945
"50","50","50","50",Mahogany Creek,MC1-206,"50",FNRN10,41.5425419248755,-119.036164027969,"3.5","1.8","0.23",NA,"0","0","0","0","54","54",N,"0.4","0","60","49","1","0","0",SS,GF,"30","70","0","40","57","3","20","0","0","0","0","0","0","1",3347.76612586211
"51","51","51","51",Mahogany Creek,MC2-257,"61",FNRN1,41.5445073218962,-119.029943642693,"18.3","1.73","0.3",NA,"1","0","0","0","12","12",N,"7.1","0","80","20","0","0","0",GF,SS,"25","60","15","5","70","25","0","15","0","5","0","40","0","50",3931.68853841044
"52","52","52","52",Mahogany Creek,MC2-257,"62",FTRF2,41.5444292686845,-119.029773359101,"6.6","1.27","0.28",NA,"0","0","0","0","33","33",N,"0","0","70","30","0","0","0",GF,SS,"15","70","15","5","70","25","0","5","0","15","0","50","0","35",3948.0243421777
"53","53","53","53",Mahogany Creek,MC2-257,"63",FNRN3,41.5444305381528,-119.029701466802,"22","1.51","0.24",NA,"0","2","0","1","76","76",N,"2.3","2","70","30","0","0","0",GF,SS,"15","75","10","5","85","10","0","20","0","15","0","50","0","35",3953.85925977449
"54","54","54","54",Mahogany Creek,MC2-257,"64",FTRF4,41.544470141625,-119.029498898312,"24.5","2.5","0.18",NA,"0","3","0","2","71","71",N,"6","0","80","20","0","0","0",GF,SS,"15","80","5","15","75","10","5","0","0","10","0","60","0","20",3969.18247635908
"55","55","55","55",Mahogany Creek,MC2-257,"65",SSMC1,41.5444814703595,-119.029367377233,"6.5","1.39","0.28",NA,"0","0","0","0","35","35",N,"0","2.8","85","15","0","0","0",SS,SS,"60","15","25","60","15","25","0","60","0","10","0","45","0","30",3979.57766429132
"56","56","56","56",Mahogany Creek,MC2-257,"66",FTRF5,41.5445193810607,-119.02926066492,"12.5","3.7","0.12",NA,"0","0","0","2","81","81",N,"0","6","80","20","0","0","0",GF,SS,"15","65","20","5","45","50","8","8","0","30","0","15","0","30",3987.12098068009
"57","57","57","57",Mahogany Creek,MC2-257,"67",SDDD2,41.5445281712549,-119.029272928555,"3","2.04","0.24","0.5","2","0","0","0","79","79",N,"0","2.5","80","20","0","0","0",GF,SS,"20","75","5","50","10","40","0","5","0","30","0","90","0","45",3985.84618884651
"58","58","58","58",Mahogany Creek,MC2-257,"68",FTRF6,41.5444291522953,-119.02926983135,"30","1.8","0.2",NA,"1","0","0","1","0","0",N,"5","0","50","43","5","2","0",GF,SS,"40","59","1","10","45","45","5","2","0","25","0","3","0","85",3989.17136060795
"59","59","59","59",Mahogany Creek,MC2-257,"68",FTRF6,41.5444291522953,-119.02926983135,"30","1.8","0.2",NA,"1","0","0","1","0","0",N,"5","0","50","43","5","2","0",GF,SS,"40","59","1","10","45","45","5","2","0","25","0","3","0","85",3989.17136060795
"60","60","60","60",Mahogany Creek,MC2-257,"68",FTRF6,41.5444291522953,-119.02926983135,"30","1.8","0.2",NA,"1","0","0","1","0","0",N,"5","0","50","43","5","2","0",GF,SS,"40","59","1","10","45","45","5","2","0","25","0","3","0","85",3989.17136060795
"61","61","61","61",Mahogany Creek,MC2-257,"68",FTRF6,41.5444291522953,-119.02926983135,"30","1.8","0.2",NA,"1","0","0","1","0","0",N,"5","0","50","43","5","2","0",GF,SS,"40","59","1","10","45","45","5","2","0","25","0","3","0","85",3989.17136060795
"62","62","62","62",Mahogany Creek,MC2-257,"68",FTRF6,41.5444291522953,-119.02926983135,"30","1.8","0.2",NA,"1","0","0","1","0","0",N,"5","0","50","43","5","2","0",GF,SS,"40","59","1","10","45","45","5","2","0","25","0","3","0","85",3989.17136060795
"63","63","63","63",Mahogany Creek,MC2-257,"69",SSLS3,41.5442516560645,-119.029120415861,"19","2","0.4","0.37","0","0","0","1","56","56",Y,"0","2.5","85","13","2","0","0",GF,SS,"15","40","45","35","30","35","3","2","0","1","0","7","0","90",4006.8870961327
"64","64","64","64",Mahogany Creek,MC2-257,"70",FTRF7,41.5443632723155,-119.028920099638,"7.1","2.45","0.28",NA,"0","0","0","0","50","50",N,"3.2","0","45","52","3","0","0",GF,SS,"20","79","1","15","40","45","2","15","0","8","0","0","0","80",4037.23407011942
"65","65","65","65",Mahogany Creek,MC2-257,"71",SSLS4,41.5443281113718,-119.028871045434,"0.47","1.5","0.31","0.36","0","0","0","0","50","50",N,"4.5","0","80","19","1","0","0",GF,SS,"5","94","1","0","99","1","0","25","0","5","0","90","0","10",4040.79489733947
"66","66","66","66",Mahogany Creek,MC2-257,"72",FNRN8,41.5443019521321,-119.028822272783,"16.2","1.42","0.31",NA,"0","0","0","0","37","37",Y,"8","9.5","78","20","2","0","0",SS,SS,"10","88","2","0","97","3","5","30","0","30","1","80","0","10",4044.46447705041
"67","67","67","67",Mahogany Creek,MC2-257,"73",FTRF9,41.5443047012947,-119.028666506344,"15.4","1.2","0.18",NA,"0","0","0","0","38","38",N,"2.5","0","40","44","15","1","0",SS,SS,"3","97","0","2","97","1","10","70","0","5","5","60","0","30",4057.452394218
"68","68","68","68",Mahogany Creek,MC2-257,"74",FNRN10,41.5442442266995,-119.028520751712,"9.5","1.34","0.28",NA,"0","0","0","0","44","44",N,"8","0","50","44","5","1","0",SS,SS,"15","84","1","2","98","0","20","70","0","20","0","90","0","10",4068.67895944676
"69","69","69","69",Mahogany Creek,MC2-257,"75",FTRF11,41.5442641331609,-119.028413476372,"16.4","2.5","0.2",NA,"0","0","0","2","52","52",N,"2","0","60","37","2","1","0",SS,SS,"20","79","1","0","93","7","40","30","0","10","5","20","0","30",4077.8882616757
"70","70","70","70",Mahogany Creek,MC2-257,"76",SSMC5,41.544294521221,-119.028222608141,"3.5","1.05","0.35","0.38","0","0","0","1","37","37",Y,"1","2.5","65","35","0","0","0",SS,SS,"30","69","1","0","100","0","10","25","0","10","12","40","0","30",4094.19992376952
"71","71","71","71",Mahogany Creek,MC2-257,"77",FNRN12,41.5443131589342,-119.028187224857,"30.4","1.6","0.26",NA,"0","0","0","2","21","21",N,"0","6.5","70","30","0","0","0",SS,SS,"30","70","0","3","95","2","25","15","0","5","20","20","0","40",4097.4149053391
"72","72","72","72",Mahogany Creek,MC2-257,"78",SDDD6,41.5444358892231,-119.027867367522,"3.2","1.8","0.24","0.32","0","0","0","0","90","90",Y,"0","0","80","20","0","0","0",SS,SS,"30","70","0","10","87","3","30","5","0","30","25","30","0","25",4125.80505718778
"73","73","73","73",Mahogany Creek,MC2-257,"79",SSLS7,41.5444453137187,-119.027843684758,"3.6","2.1","0.4","0.39","0","0","0","1","60","60",N,"0","1.5","75","25","0","0","0",SS,SS,"20","80","0","10","90","0","40","15","0","10","10","15","0","20",4127.912049055
"74","74","74","74",Mahogany Creek,MC2-257,"80",FTRF13,41.5444380029929,-119.027747546868,"3.25","2.25","0.11",NA,"0","0","0","2","50","90",N,"0","1","75","25","0","0","0",SS,SS,"20","80","0","15","85","0","15","20","0","5","10","10","0","15",4135.7956957047
"75","75","75","75",Mahogany Creek,MC3-380,"121",SSMC1,41.5425456818978,-119.006241278242,"4.9","2.2","0.17","0.31","1","0","0","1","82","83",N,"6","0","85","15","0","0","0",SS,GF,"30","40","30","1","90","9","0","0","60","80","0","80","0","5",6069.38799742316
"76","76","76","76",Mahogany Creek,MC3-380,"122",SSLS2,41.5424747126547,-119.006179142126,"3.3","2.54","0.32","0.3","0","0","0","0","93","93",N,"0.5","1.75","85","15","0","0","0",SS,GF,"30","40","30","1","90","9","0","0","75","75","0","80","0","5",6078.39756354999
"77","77","77","77",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"78","78","78","78",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"79","79","79","79",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"80","80","80","80",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"81","81","81","81",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"82","82","82","82",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"83","83","83","83",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"84","84","84","84",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"85","85","85","85",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"86","86","86","86",Mahogany Creek,MC3-380,"123",FTRF1,41.5425473548349,-119.006145423235,"9.3","1.8","0.27",NA,"0","0","0","1","97","97",Y,"7","1.85","70","27","3","0","0",SS,GF,"40","45","15","2","97","1","0","10","60","90","0","2","2","0",6076.23950484947
"87","87","87","87",Mahogany Creek,MC3-380,"124",SSLS3,41.5424041615888,-119.006093042447,"4.2","2.65","0.23","0.33","0","0","0","0","97","97",Y,"1.5","3","70","29","1","0","0",GF,GF,"10","65","25","1","98","1","0","0","60","10","0","0","5","0",6089.11979431098
"88","88","88","88",Mahogany Creek,MC3-380,"125",FTRF2,41.5423861578779,-119.006092485789,"26.5","2.17","0.13",NA,"1","0","0","3","100","100",N,"0","17","65","32","2","1","0",SS,SS,"15","80","5","20","65","15","0","5","75","90","1","10","80","90",6090.30164481888
"89","89","89","89",Mahogany Creek,MC3-380,"125",FTRF2,41.5423861578779,-119.006092485789,"26.5","2.17","0.13",NA,"1","0","0","3","100","100",N,"0","17","65","32","2","1","0",SS,SS,"15","80","5","20","65","15","0","5","75","90","1","10","80","90",6090.30164481888
"90","90","90","90",Mahogany Creek,MC3-380,"126",SSMC4,41.5422645228312,-119.005836970869,"1.5","2.52","0.23","0.28","0","0","0","1","97","97",Y,"0","2.7","90","10","0","0","0",SS,SS,"10","89","1","50","45","5","0","0","70","40","5","40","60","75",6116.55920056287
"91","91","91","91",Mahogany Creek,MC3-380,"127",FTRF3,41.5422739428436,-119.005813285505,"2.5","1.5","0.17",NA,"0","0","0","0","90","91",N,"0","2","50","50","0","0","0",SS,SS,"10","89","1","40","55","5","0","5","75","40","5","5","60","60",6117.68116694451
"92","92","92","92",Mahogany Creek,MC3-380,"128",SSLS5,41.5422471463476,-119.005800468815,"3.25","1.7","0.36","0.37","0","0","0","0","81","81",Y,"0","3.25","90","9","1","0","0",SS,SS,"20","75","5","35","64","1","0","20","70","40","5","0","25","80",6120.31027358325
"93","93","93","93",Mahogany Creek,MC3-380,"129",FTRF4,41.5422393989174,-119.005728299594,"3.4","0.47","0.12",NA,"0","0","0","0","92","92",N,"0","3","50","49","1","0","0",SS,SS,"15","80","5","50","50","0","0","20","70","40","40","0","1","30",6126.03969321506
"94","94","94","94",Mahogany Creek,MC3-380,"130",SSLS6,41.5422393989174,-119.005728299594,"4.25","1.9","0.44","0.32","0","0","0","0","87","87",N,"4","3.5","85","15","0","0","0",SS,SS,"10","85","5","45","50","5","0","10","70","30","35","25","3","20",6126.03969321506
"95","95","95","95",Mahogany Creek,MC3-380,"131",FTRF5,41.5421765949795,-119.005714369848,"8.2","1.15","0.19",NA,"1","0","0","0","90","92",N,"0","0","78","20","2","0","0",ST,SS,"20","75","5","30","58","12","0","2","85","15","0","40","30","35",6131.03249293191
"96","96","96","96",Mahogany Creek,MC3-380,"132",SSMC7,41.542104998244,-119.005688180061,"1.8","2.6","0.27","0.29","0","0","1","0","93","95",Y,"0","0.65","95","5","0","0","0",SS,SS,"70","27","3","37","60","3","0","25","70","5","0","5","75","12",6137.47261766974
"97","97","97","97",Mahogany Creek,MC3-380,"133",FTRF6,41.5421144182252,-119.005664494731,"20.5","1.9","0.09",NA,"2","0","0","4","69","69",N,"2.7","4.8","85","13","0","2","0",SP,SS,"80","19","1","35","64","1","0","20","60","70","5","40","15","12",6138.59455580869
