#,Date-Time (PST/PDT),Ch: 1 - Differential Pressure   (psi),Ch: 2 - Absolute Pressure   (psi),Ch: 3 - Temperature   (°F ),Water Level   (ft),Barometric Pressure   (psi)
137,05/13/2022 21:01:40,0.1803,11.8620,45.67,0.7224,11.6818
138,05/13/2022 21:16:40,0.1796,11.8624,45.49,0.7210,11.6828
139,05/13/2022 21:31:40,0.1796,11.8632,45.12,0.7208,11.6837
140,05/13/2022 21:46:40,0.1822,11.8688,44.94,0.7269,11.6866
141,05/13/2022 22:01:40,0.1813,11.8692,44.76,0.7249,11.6879
142,05/13/2022 22:16:40,0.1807,11.8692,44.40,0.7233,11.6886
143,05/13/2022 22:31:40,0.1786,11.8674,44.22,0.7185,11.6889
144,05/13/2022 22:46:40,0.1806,11.8730,44.03,0.7233,11.6924
145,05/13/2022 23:01:40,0.1804,11.8738,43.67,0.7228,11.6934
146,05/13/2022 23:16:40,0.1802,11.8720,43.48,0.7223,11.6918
147,05/13/2022 23:31:40,0.1771,11.8702,43.30,0.7151,11.6931
148,05/13/2022 23:46:40,0.1789,11.8750,43.12,0.7191,11.6961
149,05/14/2022 00:01:40,0.1781,11.8776,42.93,0.7175,11.6995
150,05/14/2022 00:16:40,0.1787,11.8817,42.75,0.7188,11.7030
151,05/14/2022 00:31:40,0.1776,11.8784,42.57,0.7163,11.7008
152,05/14/2022 00:46:40,0.1805,11.8791,42.57,0.7230,11.6986
153,05/14/2022 01:01:40,0.1800,11.8795,42.38,0.7219,11.6995
154,05/14/2022 01:16:40,0.1781,11.8755,42.20,0.7173,11.6974
155,05/14/2022 01:31:40,0.1792,11.8737,42.01,0.7198,11.6945
156,05/14/2022 01:46:40,0.1772,11.8704,41.83,0.7153,11.6932
157,05/14/2022 02:01:40,0.1781,11.8701,41.64,0.7175,11.6919
158,05/14/2022 02:16:40,0.1781,11.8697,41.46,0.7174,11.6916
159,05/14/2022 02:31:40,0.1806,11.8719,41.46,0.7232,11.6913
160,05/14/2022 02:46:40,0.1782,11.8694,41.27,0.7176,11.6912
161,05/14/2022 03:01:40,0.1789,11.8720,41.09,0.7193,11.6931
162,05/14/2022 03:16:40,0.1771,11.8672,40.90,0.7150,11.6902
163,05/14/2022 03:31:40,0.1791,11.8665,40.90,0.7197,11.6874
164,05/14/2022 03:46:40,0.1792,11.8669,40.71,0.7199,11.6877
165,05/14/2022 04:01:40,0.1801,11.8702,40.53,0.7219,11.6902
166,05/14/2022 04:16:40,0.1782,11.8702,40.53,0.7176,11.6921
167,05/14/2022 04:31:40,0.1787,11.8699,40.34,0.7188,11.6912
168,05/14/2022 04:46:40,0.1798,11.8718,40.15,0.7214,11.6919
169,05/14/2022 05:01:40,0.1776,11.8692,39.97,0.7162,11.6916
170,05/14/2022 05:16:40,0.1770,11.8696,39.78,0.7148,11.6927
171,05/14/2022 05:31:40,0.1772,11.8685,39.59,0.7153,11.6913
172,05/14/2022 05:46:40,0.1791,11.8671,39.59,0.7196,11.6880
173,05/14/2022 06:01:40,0.1785,11.8711,39.40,0.7183,11.6927
174,05/14/2022 06:16:40,0.1790,11.8715,39.21,0.7195,11.6925
175,05/14/2022 06:31:40,0.1779,11.8704,39.02,0.7170,11.6925
176,05/14/2022 06:46:40,0.1781,11.8726,39.02,0.7174,11.6945
177,05/14/2022 07:01:40,0.1784,11.8738,38.84,0.7180,11.6954
178,05/14/2022 07:16:40,0.1797,11.8752,38.84,0.7210,11.6956
179,05/14/2022 07:31:40,0.1783,11.8749,38.65,0.7179,11.6966
180,05/14/2022 07:46:40,0.1804,11.8771,38.65,0.7227,11.6967
181,05/14/2022 08:01:40,0.1782,11.8756,38.65,0.7176,11.6974
182,05/14/2022 08:16:40,0.1764,11.8749,38.65,0.7136,11.6985
183,05/14/2022 08:31:40,0.1755,11.8760,38.84,0.7114,11.7005
184,05/14/2022 08:46:40,0.1754,11.8771,39.02,0.7112,11.7016
185,05/14/2022 09:01:40,0.1775,11.8803,39.21,0.7161,11.7028
186,05/14/2022 09:16:40,0.1783,11.8829,39.40,0.7179,11.7045
187,05/14/2022 09:31:40,0.1801,11.8832,39.59,0.7221,11.7031
188,05/14/2022 09:46:40,0.1794,11.8854,39.97,0.7204,11.7060
189,05/14/2022 10:01:40,0.1771,11.8809,40.34,0.7151,11.7038
190,05/14/2022 10:16:40,0.1784,11.8838,40.71,0.7181,11.7054
191,05/14/2022 10:31:40,0.1806,11.8841,41.27,0.7231,11.7035
192,05/14/2022 10:46:40,0.1788,11.8825,42.01,0.7191,11.7037
193,05/14/2022 11:01:40,0.1798,11.8846,42.75,0.7213,11.7048
194,05/14/2022 11:16:40,0.1779,11.8845,43.48,0.7170,11.7066
195,05/14/2022 11:31:40,0.1828,11.8876,44.40,0.7283,11.7048
196,05/14/2022 11:46:40,0.1788,11.8824,45.12,0.7191,11.7035
197,05/14/2022 12:01:40,0.1850,11.8881,45.85,0.7334,11.7031
198,05/14/2022 12:16:40,0.1791,11.8835,46.57,0.7199,11.7044
199,05/14/2022 12:31:40,0.1840,11.8875,47.11,0.7310,11.7035
200,05/14/2022 12:46:40,0.1820,11.8819,47.65,0.7264,11.6999
201,05/14/2022 13:01:40,0.1839,11.8832,48.36,0.7308,11.6993
202,05/14/2022 13:16:40,0.1837,11.8823,49.07,0.7304,11.6986
203,05/14/2022 13:31:40,0.1853,11.8799,49.78,0.7341,11.6947
204,05/14/2022 13:46:40,0.1812,11.8743,50.31,0.7247,11.6931
205,05/14/2022 14:01:40,0.1839,11.8772,50.67,0.7310,11.6932
206,05/14/2022 14:16:40,0.1847,11.8771,51.02,0.7329,11.6924
207,05/14/2022 14:31:40,0.1851,11.8778,51.37,0.7337,11.6927
208,05/14/2022 14:46:40,0.1834,11.8762,51.72,0.7298,11.6928
209,05/14/2022 15:01:40,0.1866,11.8791,52.07,0.7371,11.6925
210,05/14/2022 15:16:40,0.1850,11.8738,52.43,0.7334,11.6889
211,05/14/2022 15:31:40,0.1877,11.8782,52.78,0.7397,11.6905
212,05/14/2022 15:46:40,0.1873,11.8766,53.13,0.7389,11.6893
213,05/14/2022 16:01:40,0.1825,11.8733,53.30,0.7278,11.6908
214,05/14/2022 16:16:40,0.1871,11.8758,53.48,0.7383,11.6887
215,05/14/2022 16:31:40,0.1883,11.8769,53.65,0.7411,11.6886
216,05/14/2022 16:46:40,0.1878,11.8769,53.65,0.7401,11.6890
217,05/14/2022 17:01:40,0.1859,11.8747,53.65,0.7357,11.6887
218,05/14/2022 17:16:40,0.1864,11.8769,53.65,0.7368,11.6905
219,05/14/2022 17:31:40,0.1873,11.8783,53.65,0.7388,11.6911
220,05/14/2022 17:46:40,0.1836,11.8751,53.48,0.7303,11.6915
221,05/14/2022 18:01:40,0.1836,11.8762,53.30,0.7302,11.6927
222,05/14/2022 18:16:40,0.1858,11.8792,53.30,0.7353,11.6934
223,05/14/2022 18:31:40,0.1861,11.8810,53.13,0.7360,11.6950
224,05/14/2022 18:46:40,0.1843,11.8807,52.95,0.7319,11.6964
225,05/14/2022 19:01:40,0.1832,11.8804,52.78,0.7294,11.6971
226,05/14/2022 19:16:40,0.1827,11.8819,52.43,0.7283,11.6992
227,05/14/2022 19:31:40,0.1845,11.8853,52.25,0.7324,11.7008
228,05/14/2022 19:46:40,0.1833,11.8842,52.07,0.7296,11.7009
229,05/14/2022 20:01:40,0.1852,11.8872,51.72,0.7339,11.7021
230,05/14/2022 20:16:40,0.1826,11.8873,51.37,0.7280,11.7047
231,05/14/2022 20:31:40,0.1852,11.8911,51.02,0.7340,11.7059
232,05/14/2022 20:46:40,0.1847,11.8904,50.67,0.7328,11.7057
233,05/14/2022 21:01:40,0.1838,11.8927,50.31,0.7307,11.7089
234,05/14/2022 21:16:40,0.1870,11.8965,49.96,0.7380,11.7095
235,05/14/2022 21:31:40,0.1834,11.8943,49.60,0.7298,11.7109
236,05/14/2022 21:46:40,0.1851,11.8992,49.07,0.7337,11.7141
237,05/14/2022 22:01:40,0.1841,11.8978,48.72,0.7314,11.7137
238,05/14/2022 22:16:40,0.1820,11.8972,48.36,0.7266,11.7151
239,05/14/2022 22:31:40,0.1849,11.8980,48.00,0.7331,11.7131
240,05/14/2022 22:46:40,0.1819,11.8951,47.65,0.7261,11.7132
241,05/14/2022 23:01:40,0.1861,11.8970,47.11,0.7360,11.7109
242,05/14/2022 23:16:40,0.1847,11.8942,46.75,0.7327,11.7095
243,05/14/2022 23:31:40,0.1846,11.8935,46.39,0.7325,11.7089
244,05/14/2022 23:46:40,0.1872,11.8950,46.03,0.7384,11.7079
245,05/15/2022 00:01:40,0.1834,11.8914,45.67,0.7297,11.7080
246,05/15/2022 00:16:40,0.1836,11.8908,45.31,0.7302,11.7072
247,05/15/2022 00:31:40,0.1850,11.8916,44.94,0.7334,11.7066
248,05/15/2022 00:46:40,0.1836,11.8887,44.58,0.7301,11.7051
249,05/15/2022 01:01:40,0.1833,11.8873,44.22,0.7295,11.7040
250,05/15/2022 01:16:40,0.1821,11.8840,44.03,0.7266,11.7019
251,05/15/2022 01:31:40,0.1809,11.8811,43.67,0.7240,11.7002
252,05/15/2022 01:46:40,0.1833,11.8827,43.30,0.7295,11.6993
253,05/15/2022 02:01:40,0.1800,11.8765,43.12,0.7219,11.6964
254,05/15/2022 02:16:40,0.1818,11.8765,42.75,0.7260,11.6947
255,05/15/2022 02:31:40,0.1863,11.8784,42.57,0.7363,11.6921
256,05/15/2022 02:46:40,0.1825,11.8733,42.20,0.7276,11.6908
257,05/15/2022 03:01:40,0.1831,11.8719,41.83,0.7291,11.6887
258,05/15/2022 03:16:40,0.1815,11.8701,41.64,0.7252,11.6886
259,05/15/2022 03:31:40,0.1828,11.8694,41.27,0.7283,11.6866
260,05/15/2022 03:46:40,0.1838,11.8691,41.09,0.7306,11.6853
261,05/15/2022 04:01:40,0.1836,11.8680,40.90,0.7301,11.6844
262,05/15/2022 04:16:40,0.1839,11.8666,40.53,0.7308,11.6826
263,05/15/2022 04:31:40,0.1833,11.8640,40.34,0.7293,11.6808
264,05/15/2022 04:46:40,0.1823,11.8629,40.15,0.7272,11.6806
265,05/15/2022 05:01:40,0.1855,11.8633,39.97,0.7344,11.6779
266,05/15/2022 05:16:40,0.1826,11.8590,39.59,0.7277,11.6764
267,05/15/2022 05:31:40,0.1861,11.8627,39.59,0.7358,11.6766
268,05/15/2022 05:46:40,0.1860,11.8598,39.21,0.7355,11.6738
269,05/15/2022 06:01:40,0.1826,11.8554,39.21,0.7277,11.6728
270,05/15/2022 06:16:40,0.1830,11.8558,39.02,0.7286,11.6728
271,05/15/2022 06:31:40,0.1829,11.8569,38.84,0.7285,11.6739
272,05/15/2022 06:46:40,0.1816,11.8551,38.65,0.7254,11.6735
273,05/15/2022 07:01:40,0.1805,11.8536,38.65,0.7230,11.6731
274,05/15/2022 07:16:40,0.1805,11.8540,38.46,0.7229,11.6735
275,05/15/2022 07:31:40,0.1818,11.8540,38.46,0.7259,11.6722
276,05/15/2022 07:46:40,0.1822,11.8540,38.46,0.7269,11.6718
277,05/15/2022 08:01:40,0.1788,11.8496,38.46,0.7191,11.6708
278,05/15/2022 08:16:40,0.1791,11.8477,38.65,0.7198,11.6686
279,05/15/2022 08:31:40,0.1789,11.8444,38.84,0.7191,11.6655
280,05/15/2022 08:46:40,0.1784,11.8429,39.21,0.7180,11.6645
281,05/15/2022 09:01:40,0.1799,11.8439,39.40,0.7215,11.6641
282,05/15/2022 09:16:40,0.1776,11.8402,39.78,0.7162,11.6626
283,05/15/2022 09:31:40,0.1821,11.8427,40.34,0.7267,11.6606
284,05/15/2022 09:46:40,0.1828,11.8405,40.71,0.7281,11.6577
285,05/15/2022 10:01:40,0.1796,11.8349,41.27,0.7209,11.6552
286,05/15/2022 10:16:40,0.1827,11.8362,42.01,0.7281,11.6535
287,05/15/2022 10:31:40,0.1841,11.8372,42.93,0.7313,11.6531
288,05/15/2022 10:46:40,0.1858,11.8366,43.85,0.7351,11.6509
289,05/15/2022 11:01:40,0.1885,11.8372,44.58,0.7415,11.6487
290,05/15/2022 11:16:40,0.1848,11.8352,45.49,0.7329,11.6504
291,05/15/2022 11:31:40,0.1878,11.8372,46.57,0.7398,11.6494
292,05/15/2022 11:46:40,0.1862,11.8345,47.47,0.7362,11.6483
293,05/15/2022 12:01:40,0.1871,11.8346,48.36,0.7383,11.6475
294,05/15/2022 12:16:40,0.1893,11.8348,49.25,0.7434,11.6455
295,05/15/2022 12:31:40,0.1897,11.8328,50.14,0.7444,11.6430
296,05/15/2022 12:46:40,0.1868,11.8300,51.02,0.7377,11.6432
297,05/15/2022 13:01:40,0.1921,11.8346,51.90,0.7499,11.6425
298,05/15/2022 13:16:40,0.1889,11.8289,52.78,0.7424,11.6400
299,05/15/2022 13:31:40,0.1879,11.8279,53.82,0.7402,11.6400
300,05/15/2022 13:46:40,0.1890,11.8255,54.52,0.7428,11.6365
301,05/15/2022 14:01:40,0.1868,11.8202,55.22,0.7379,11.6333
302,05/15/2022 14:16:40,0.1864,11.8189,56.09,0.7368,11.6325
303,05/15/2022 14:31:40,0.1937,11.8242,56.60,0.7537,11.6306
304,05/15/2022 14:46:40,0.1901,11.8189,57.30,0.7454,11.6288
305,05/15/2022 15:01:40,0.1943,11.8206,57.82,0.7551,11.6264
306,05/15/2022 15:16:40,0.1929,11.8198,58.16,0.7519,11.6270
307,05/15/2022 15:31:40,0.1940,11.8187,58.33,0.7546,11.6246
308,05/15/2022 15:46:40,0.1896,11.8131,58.51,0.7444,11.6235
309,05/15/2022 16:01:40,0.1927,11.8146,58.51,0.7515,11.6219
310,05/15/2022 16:16:40,0.1901,11.8094,58.51,0.7456,11.6193
311,05/15/2022 16:31:40,0.1914,11.8131,58.51,0.7484,11.6217
312,05/15/2022 16:46:40,0.1915,11.8142,58.33,0.7487,11.6227
313,05/15/2022 17:01:40,0.1935,11.8176,58.16,0.7535,11.6241
314,05/15/2022 17:16:40,0.1892,11.8121,57.99,0.7435,11.6229
315,05/15/2022 17:31:40,0.1923,11.8177,57.82,0.7506,11.6254
316,05/15/2022 17:46:40,0.1921,11.8225,57.64,0.7500,11.6304
317,05/15/2022 18:01:40,0.1917,11.8211,57.30,0.7492,11.6294
318,05/15/2022 18:16:40,0.1914,11.8215,57.12,0.7484,11.6301
319,05/15/2022 18:31:40,0.1893,11.8209,56.78,0.7436,11.6316
320,05/15/2022 18:46:40,0.1913,11.8239,56.43,0.7482,11.6326
321,05/15/2022 19:01:40,0.1897,11.8255,56.09,0.7444,11.6358
322,05/15/2022 19:16:40,0.1916,11.8285,55.74,0.7488,11.6370
323,05/15/2022 19:31:40,0.1917,11.8301,55.39,0.7490,11.6384
324,05/15/2022 19:46:40,0.1891,11.8269,54.87,0.7430,11.6378
325,05/15/2022 20:01:40,0.1898,11.8307,54.52,0.7446,11.6409
326,05/15/2022 20:16:40,0.1846,11.8267,54.00,0.7325,11.6422
327,05/15/2022 20:31:40,0.1890,11.8316,53.48,0.7428,11.6426
328,05/15/2022 20:46:40,0.1894,11.8339,53.13,0.7438,11.6445
329,05/15/2022 21:01:40,0.1864,11.8330,52.60,0.7368,11.6465
330,05/15/2022 21:16:40,0.1874,11.8345,52.25,0.7390,11.6471
331,05/15/2022 21:31:40,0.1878,11.8365,51.72,0.7399,11.6487
332,05/15/2022 21:46:40,0.1843,11.8351,51.37,0.7320,11.6507
333,05/15/2022 22:01:40,0.1856,11.8363,50.84,0.7348,11.6507
334,05/15/2022 22:16:40,0.1848,11.8356,50.49,0.7329,11.6509
335,05/15/2022 22:31:40,0.1834,11.8357,50.14,0.7298,11.6523
336,05/15/2022 22:46:40,0.1857,11.8380,49.78,0.7350,11.6523
337,05/15/2022 23:01:40,0.1868,11.8366,49.43,0.7375,11.6499
338,05/15/2022 23:16:40,0.1868,11.8360,49.07,0.7376,11.6491
339,05/15/2022 23:31:40,0.1860,11.8353,48.72,0.7358,11.6493
340,05/15/2022 23:46:40,0.1850,11.8350,48.54,0.7333,11.6500
341,05/16/2022 00:01:40,0.1855,11.8351,48.18,0.7345,11.6496
342,05/16/2022 00:16:40,0.1878,11.8369,48.00,0.7398,11.6491
343,05/16/2022 00:31:40,0.1889,11.8385,47.65,0.7424,11.6496
344,05/16/2022 00:46:40,0.1831,11.8330,47.47,0.7291,11.6499
345,05/16/2022 01:01:40,0.1856,11.8353,47.11,0.7347,11.6497
346,05/16/2022 01:16:40,0.1860,11.8357,46.93,0.7356,11.6497
347,05/16/2022 01:31:40,0.1840,11.8343,46.57,0.7310,11.6503
348,05/16/2022 01:46:40,0.1885,11.8384,46.39,0.7414,11.6499
349,05/16/2022 02:01:40,0.1896,11.8395,46.21,0.7441,11.6499
350,05/16/2022 02:16:40,0.1895,11.8399,46.03,0.7437,11.6504
351,05/16/2022 02:31:40,0.1875,11.8403,45.85,0.7392,11.6528
352,05/16/2022 02:46:40,0.1850,11.8374,45.49,0.7333,11.6525
353,05/16/2022 03:01:40,0.1870,11.8393,45.31,0.7379,11.6523
354,05/16/2022 03:16:40,0.1879,11.8390,45.12,0.7402,11.6510
