"";"X.";"Date.Time..PST.PDT.";"Ch..1...Differential.Pressure....psi.";"Ch..2...Absolute.Pressure....psi.";"Ch..3...Temperature.....F..";"Water.Level....ft.";"Barometric.Pressure....psi."
"31";31;"07/05/2022 20:23:29";"0.1342";"11.5671";"49.25";0,5737;"11.4329"
"32";32;"07/05/2022 20:38:29";"0.1344";"11.5675";"49.07";0,5741;"11.4330"
"33";33;"07/05/2022 20:53:29";"0.1330";"11.5656";"48.72";0,571;"11.4326"
"34";34;"07/05/2022 21:08:29";"0.1338";"11.5685";"48.54";0,5728;"11.4346"
"35";35;"07/05/2022 21:23:29";"0.1323";"11.5666";"48.18";0,5693;"11.4343"
"36";36;"07/05/2022 21:38:29";"0.1333";"11.5713";"48.00";0,5717;"11.4380"
"37";37;"07/05/2022 21:53:29";"0.1318";"11.5738";"47.65";0,5681;"11.4420"
"38";38;"07/05/2022 22:08:29";"0.1315";"11.5760";"47.47";0,5675;"11.4445"
"39";39;"07/05/2022 22:23:29";"0.1311";"11.5763";"47.29";0,5666;"11.4452"
"40";40;"07/05/2022 22:38:29";"0.1295";"11.5730";"47.11";0,5629;"11.4435"
"41";41;"07/05/2022 22:53:29";"0.1320";"11.5752";"46.93";0,5685;"11.4432"
"42";42;"07/05/2022 23:08:29";"0.1327";"11.5767";"46.75";0,5701;"11.4441"
"43";43;"07/05/2022 23:23:29";"0.1331";"11.5743";"46.39";0,5712;"11.4412"
"44";44;"07/05/2022 23:38:29";"0.1318";"11.5740";"46.21";0,5682;"11.4422"
"45";45;"07/05/2022 23:53:29";"0.1319";"11.5743";"46.03";0,5683;"11.4425"
"46";46;"07/06/2022 00:08:29";"0.1322";"11.5753";"45.85";0,5691;"11.4430"
"47";47;"07/06/2022 00:23:29";"0.1327";"11.5759";"45.85";0,5702;"11.4432"
"48";48;"07/06/2022 00:38:29";"0.1318";"11.5731";"45.67";0,5682;"11.4413"
"49";49;"07/06/2022 00:53:29";"0.1317";"11.5728";"45.49";0,5679;"11.4412"
"50";50;"07/06/2022 01:08:29";"0.1315";"11.5722";"45.49";0,5675;"11.4407"
"51";51;"07/06/2022 01:23:29";"0.1246";"11.5657";"45.31";0,5517;"11.4412"
"52";52;"07/06/2022 01:38:29";"0.1252";"11.5664";"45.31";0,5531;"11.4412"
"53";53;"07/06/2022 01:53:29";"0.1238";"11.5639";"45.31";0,5498;"11.4401"
"54";54;"07/06/2022 02:08:29";"0.1217";"11.5608";"45.31";0,545;"11.4391"
"55";55;"07/06/2022 02:23:29";"0.1241";"11.5645";"45.31";0,5505;"11.4404"
"56";56;"07/06/2022 02:38:29";"0.1208";"11.5614";"45.31";0,5431;"11.4406"
"57";57;"07/06/2022 02:53:29";"0.1211";"11.5614";"45.31";0,5438;"11.4403"
"58";58;"07/06/2022 03:08:29";"0.1216";"11.5620";"45.31";0,5448;"11.4404"
"59";59;"07/06/2022 03:23:29";"0.1228";"11.5620";"45.31";0,5475;"11.4393"
"60";60;"07/06/2022 03:38:29";"0.1227";"11.5627";"45.31";0,5473;"11.4400"
"61";61;"07/06/2022 03:53:29";"0.1239";"11.5630";"45.12";0,55;"11.4391"
"62";62;"07/06/2022 04:08:29";"0.1260";"11.5655";"45.12";0,555;"11.4394"
"63";63;"07/06/2022 04:23:29";"0.1260";"11.5648";"45.12";0,5549;"11.4388"
"64";64;"07/06/2022 04:38:29";"0.1255";"11.5642";"45.12";0,5538;"11.4387"
"65";65;"07/06/2022 04:53:29";"0.1259";"11.5648";"45.12";0,5546;"11.4390"
"66";66;"07/06/2022 05:08:29";"0.1260";"11.5652";"44.94";0,555;"11.4391"
"67";67;"07/06/2022 05:23:29";"0.1276";"11.5664";"44.94";0,5585;"11.4388"
"68";68;"07/06/2022 05:38:29";"0.1258";"11.5658";"44.94";0,5544;"11.4400"
"69";69;"07/06/2022 05:53:29";"0.1251";"11.5661";"44.76";0,5529;"11.4410"
"70";70;"07/06/2022 06:08:29";"0.1256";"11.5674";"44.76";0,554;"11.4417"
"71";71;"07/06/2022 06:23:29";"0.1256";"11.5671";"44.58";0,554;"11.4414"
"72";72;"07/06/2022 06:38:29";"0.1268";"11.5689";"44.58";0,5566;"11.4422"
"73";73;"07/06/2022 06:53:29";"0.1242";"11.5658";"44.58";0,5509;"11.4416"
"74";74;"07/06/2022 07:08:29";"0.1252";"11.5677";"44.58";0,5531;"11.4425"
"75";75;"07/06/2022 07:23:29";"0.1232";"11.5661";"44.76";0,5485;"11.4429"
"76";76;"07/06/2022 07:38:29";"0.1243";"11.5670";"44.94";0,5509;"11.4428"
"77";77;"07/06/2022 07:53:29";"0.1241";"11.5673";"45.12";0,5506;"11.4432"
"78";78;"07/06/2022 08:08:29";"0.1223";"11.5670";"45.31";0,5466;"11.4446"
"79";79;"07/06/2022 08:23:29";"0.1221";"11.5685";"45.49";0,5461;"11.4464"
"80";80;"07/06/2022 08:38:29";"0.1228";"11.5707";"45.67";0,5476;"11.4478"
"81";81;"07/06/2022 08:53:29";"0.1260";"11.5753";"45.85";0,5549;"11.4493"
"82";82;"07/06/2022 09:08:29";"0.1243";"11.5734";"45.85";0,551;"11.4491"
"83";83;"07/06/2022 09:23:29";"0.1245";"11.5731";"46.03";0,5516;"11.4486"
"84";84;"07/06/2022 09:38:29";"0.1205";"11.5690";"46.21";0,5423;"11.4486"
"85";85;"07/06/2022 09:53:29";"0.1211";"11.5693";"46.39";0,5436;"11.4483"
"86";86;"07/06/2022 10:08:29";"0.1205";"11.5699";"46.75";0,5423;"11.4494"
"87";87;"07/06/2022 10:23:29";"0.1184";"11.5674";"47.11";0,5375;"11.4490"
"88";88;"07/06/2022 10:38:29";"0.1198";"11.5685";"47.82";0,5408;"11.4487"
"89";89;"07/06/2022 10:53:29";"0.1217";"11.5688";"48.36";0,545;"11.4471"
"90";90;"07/06/2022 11:08:29";"0.1234";"11.5715";"48.89";0,5489;"11.4481"
"91";91;"07/06/2022 11:23:29";"0.1233";"11.5687";"49.43";0,5487;"11.4454"
"92";92;"07/06/2022 11:38:29";"0.1262";"11.5711";"49.78";0,5553;"11.4449"
"93";93;"07/06/2022 11:53:29";"0.1255";"11.5707";"50.31";0,5537;"11.4452"
"94";94;"07/06/2022 12:08:29";"0.1280";"11.5725";"51.02";0,5594;"11.4445"
"95";95;"07/06/2022 12:23:29";"0.1270";"11.5718";"51.72";0,5571;"11.4448"
"96";96;"07/06/2022 12:38:29";"0.1275";"11.5707";"52.60";0,5584;"11.4432"
"97";97;"07/06/2022 12:53:29";"0.1294";"11.5719";"53.30";0,5627;"11.4425"
"98";98;"07/06/2022 13:08:29";"0.1281";"11.5681";"54.00";0,5596;"11.4400"
"99";99;"07/06/2022 13:23:29";"0.1285";"11.5677";"54.87";0,5607;"11.4391"
"100";100;"07/06/2022 13:38:29";"0.1272";"11.5666";"55.74";0,5576;"11.4394"
"101";101;"07/06/2022 13:53:29";"0.1286";"11.5662";"56.26";0,5607;"11.4377"
"102";102;"07/06/2022 14:08:29";"0.1284";"11.5662";"56.60";0,5603;"11.4378"
"103";103;"07/06/2022 14:23:29";"0.1288";"11.5640";"56.78";0,5613;"11.4352"
"104";104;"07/06/2022 14:38:29";"0.1287";"11.5643";"56.60";0,561;"11.4356"
"105";105;"07/06/2022 14:53:29";"0.1266";"11.5628";"56.43";0,5562;"11.4362"
"106";106;"07/06/2022 15:08:29";"0.1273";"11.5603";"56.43";0,5578;"11.4330"
"107";107;"07/06/2022 15:23:29";"0.1260";"11.5625";"56.26";0,5549;"11.4365"
"108";108;"07/06/2022 15:38:29";"0.1279";"11.5616";"56.09";0,5591;"11.4338"
"109";109;"07/06/2022 15:53:29";"0.1282";"11.5617";"55.74";0,5599;"11.4335"
"110";110;"07/06/2022 16:08:29";"0.1324";"11.5660";"55.39";0,5696;"11.4336"
"111";111;"07/06/2022 16:23:29";"0.1357";"11.5686";"55.04";0,577;"11.4329"
"112";112;"07/06/2022 16:38:29";"0.1373";"11.5705";"54.70";0,5807;"11.4332"
"113";113;"07/06/2022 16:53:29";"0.1349";"11.5684";"54.17";0,5752;"11.4335"
"114";114;"07/06/2022 17:08:29";"0.1367";"11.5693";"54.00";0,5794;"11.4326"
"115";115;"07/06/2022 17:23:29";"0.1370";"11.5694";"53.65";0,5801;"11.4323"
"116";116;"07/06/2022 17:38:29";"0.1379";"11.5700";"53.30";0,582;"11.4322"
"117";117;"07/06/2022 17:53:29";"0.1358";"11.5663";"52.95";0,5772;"11.4306"
"118";118;"07/06/2022 18:08:29";"0.1352";"11.5676";"52.60";0,5758;"11.4325"
"119";119;"07/06/2022 18:23:29";"0.1348";"11.5677";"52.25";0,575;"11.4329"
"120";120;"07/06/2022 18:38:29";"0.1290";"11.5624";"52.07";0,5617;"11.4335"
"121";121;"07/06/2022 18:53:29";"0.1294";"11.5643";"51.72";0,5627;"11.4349"
"122";122;"07/06/2022 19:08:29";"0.1319";"11.5681";"51.37";0,5683;"11.4362"
"123";123;"07/06/2022 19:23:29";"0.1326";"11.5681";"51.02";0,5701;"11.4355"
"124";124;"07/06/2022 19:38:29";"0.1334";"11.5703";"50.84";0,5718;"11.4369"
"125";125;"07/06/2022 19:53:29";"0.1308";"11.5698";"50.49";0,5658;"11.4390"
"126";126;"07/06/2022 20:08:29";"0.1320";"11.5698";"50.14";0,5686;"11.4378"
"127";127;"07/06/2022 20:23:29";"0.1332";"11.5732";"49.96";0,5714;"11.4400"
"128";128;"07/06/2022 20:38:29";"0.1341";"11.5745";"49.60";0,5734;"11.4404"
"129";129;"07/06/2022 20:53:29";"0.1311";"11.5746";"49.25";0,5665;"11.4435"
"130";130;"07/06/2022 21:08:29";"0.1340";"11.5786";"49.07";0,5731;"11.4446"
"131";131;"07/06/2022 21:23:29";"0.1318";"11.5774";"48.72";0,568;"11.4457"
"132";132;"07/06/2022 21:38:29";"0.1332";"11.5796";"48.54";0,5714;"11.4464"
"133";133;"07/06/2022 21:53:29";"0.1297";"11.5784";"48.18";0,5634;"11.4487"
"134";134;"07/06/2022 22:08:29";"0.1312";"11.5794";"48.00";0,5669;"11.4481"
"135";135;"07/06/2022 22:23:29";"0.1339";"11.5813";"47.65";0,5728;"11.4474"
"136";136;"07/06/2022 22:38:29";"0.1307";"11.5791";"47.47";0,5656;"11.4484"
"137";137;"07/06/2022 22:53:29";"0.1316";"11.5813";"47.29";0,5676;"11.4497"
"138";138;"07/06/2022 23:08:29";"0.1323";"11.5835";"47.11";0,5693;"11.4512"
"139";139;"07/06/2022 23:23:29";"0.1327";"11.5838";"46.93";0,5701;"11.4512"
"140";140;"07/06/2022 23:38:29";"0.1309";"11.5804";"46.75";0,566;"11.4496"
"141";141;"07/06/2022 23:53:29";"0.1301";"11.5823";"46.75";0,5643;"11.4522"
"142";142;"07/07/2022 00:08:29";"0.1300";"11.5826";"46.57";0,564;"11.4526"
"143";143;"07/07/2022 00:23:29";"0.1311";"11.5842";"46.39";0,5666;"11.4530"
"144";144;"07/07/2022 00:38:29";"0.1291";"11.5820";"46.21";0,5621;"11.4529"
"145";145;"07/07/2022 00:53:29";"0.1319";"11.5839";"46.21";0,5683;"11.4520"
"146";146;"07/07/2022 01:08:29";"0.1277";"11.5799";"46.03";0,5588;"11.4522"
"147";147;"07/07/2022 01:23:29";"0.1298";"11.5833";"45.85";0,5637;"11.4535"
"148";148;"07/07/2022 01:38:29";"0.1308";"11.5839";"45.85";0,5657;"11.4532"
"149";149;"07/07/2022 01:53:29";"0.1332";"11.5861";"45.67";0,5714;"11.4529"
"150";150;"07/07/2022 02:08:29";"0.1297";"11.5827";"45.49";0,5633;"11.4530"
"151";151;"07/07/2022 02:23:29";"0.1291";"11.5818";"45.31";0,5619;"11.4528"
"152";152;"07/07/2022 02:38:29";"0.1305";"11.5831";"45.31";0,5651;"11.4526"
"153";153;"07/07/2022 02:53:29";"0.1306";"11.5853";"45.12";0,5654;"11.4546"
"154";154;"07/07/2022 03:08:29";"0.1282";"11.5834";"45.12";0,5599;"11.4552"
"155";155;"07/07/2022 03:23:29";"0.1283";"11.5844";"44.94";0,5601;"11.4561"
"156";156;"07/07/2022 03:38:29";"0.1288";"11.5831";"44.94";0,5612;"11.4544"
"157";157;"07/07/2022 03:53:29";"0.1288";"11.5837";"44.94";0,5613;"11.4549"
"158";158;"07/07/2022 04:08:29";"0.1303";"11.5859";"44.76";0,5646;"11.4557"
"159";159;"07/07/2022 04:23:29";"0.1294";"11.5865";"44.76";0,5627;"11.4571"
"160";160;"07/07/2022 04:38:29";"0.1305";"11.5875";"44.58";0,5652;"11.4570"
"161";161;"07/07/2022 04:53:29";"0.1313";"11.5881";"44.58";0,567;"11.4568"
"162";162;"07/07/2022 05:08:29";"0.1300";"11.5884";"44.40";0,5641;"11.4584"
"163";163;"07/07/2022 05:23:29";"0.1288";"11.5891";"44.40";0,5612;"11.4603"
"164";164;"07/07/2022 05:38:29";"0.1305";"11.5922";"44.40";0,5653;"11.4616"
"165";165;"07/07/2022 05:53:29";"0.1263";"11.5888";"44.22";0,5556;"11.4625"
"166";166;"07/07/2022 06:08:29";"0.1275";"11.5900";"44.22";0,5584;"11.4625"
"167";167;"07/07/2022 06:23:29";"0.1298";"11.5931";"44.22";0,5635;"11.4633"
"168";168;"07/07/2022 06:38:29";"0.1286";"11.5925";"44.22";0,5607;"11.4639"
"169";169;"07/07/2022 06:53:29";"0.1273";"11.5925";"44.22";0,5577;"11.4652"
"170";170;"07/07/2022 07:08:29";"0.1291";"11.5950";"44.22";0,5621;"11.4658"
"171";171;"07/07/2022 07:23:29";"0.1254";"11.5925";"44.22";0,5534;"11.4671"
"172";172;"07/07/2022 07:38:29";"0.1275";"11.5940";"44.40";0,5583;"11.4665"
"173";173;"07/07/2022 07:53:29";"0.1272";"11.5959";"44.40";0,5575;"11.4687"
"174";174;"07/07/2022 08:08:29";"0.1263";"11.5968";"44.58";0,5556;"11.4705"
"175";175;"07/07/2022 08:23:29";"0.1275";"11.5995";"44.76";0,5583;"11.4721"
"176";176;"07/07/2022 08:38:29";"0.1278";"11.6023";"44.94";0,559;"11.4745"
"177";177;"07/07/2022 08:53:29";"0.1267";"11.6038";"45.12";0,5565;"11.4771"
"178";178;"07/07/2022 09:08:29";"0.1226";"11.5992";"45.31";0,5472;"11.4765"
"179";179;"07/07/2022 09:23:29";"0.1262";"11.6028";"45.67";0,5552;"11.4767"
"180";180;"07/07/2022 09:38:29";"0.1247";"11.6013";"45.85";0,552;"11.4765"
"181";181;"07/07/2022 09:53:29";"0.1271";"11.6050";"46.21";0,5574;"11.4779"
"182";182;"07/07/2022 10:08:29";"0.1272";"11.6043";"46.57";0,5575;"11.4771"
"183";183;"07/07/2022 10:23:29";"0.1245";"11.6021";"47.11";0,5515;"11.4776"
"184";184;"07/07/2022 10:38:29";"0.1263";"11.6042";"47.65";0,5556;"11.4779"
"185";185;"07/07/2022 10:53:29";"0.1253";"11.6028";"48.36";0,5532;"11.4776"
"186";186;"07/07/2022 11:08:29";"0.1274";"11.6047";"48.72";0,5581;"11.4773"
"187";187;"07/07/2022 11:23:29";"0.1279";"11.6043";"49.25";0,5592;"11.4764"
"188";188;"07/07/2022 11:38:29";"0.1287";"11.6039";"49.78";0,561;"11.4752"
"189";189;"07/07/2022 11:53:29";"0.1268";"11.6023";"50.31";0,5566;"11.4755"
"190";190;"07/07/2022 12:08:29";"0.1261";"11.6004";"51.02";0,5552;"11.4742"
"191";191;"07/07/2022 12:23:29";"0.1307";"11.6052";"51.72";0,5656;"11.4745"
"192";192;"07/07/2022 12:38:29";"0.1316";"11.6082";"52.78";0,5678;"11.4765"
"193";193;"07/07/2022 12:53:29";"0.1298";"11.6050";"53.48";0,5635;"11.4752"
"194";194;"07/07/2022 13:08:29";"0.1300";"11.6040";"54.35";0,5641;"11.4739"
"195";195;"07/07/2022 13:23:29";"0.1300";"11.6029";"55.22";0,5641;"11.4729"
"196";196;"07/07/2022 13:38:29";"0.1302";"11.6022";"55.91";0,5644;"11.4720"
"197";197;"07/07/2022 13:53:29";"0.1281";"11.6025";"56.43";0,5597;"11.4744"
"198";198;"07/07/2022 14:08:29";"0.1291";"11.6012";"56.78";0,5621;"11.4720"
"199";199;"07/07/2022 14:23:29";"0.1317";"11.6046";"56.95";0,5678;"11.4729"
"200";200;"07/07/2022 14:38:29";"0.1276";"11.5996";"56.95";0,5585;"11.4720"
"201";201;"07/07/2022 14:53:29";"0.1295";"11.5993";"56.78";0,5628;"11.4699"
"202";202;"07/07/2022 15:08:29";"0.1291";"11.5978";"56.60";0,5619;"11.4687"
"203";203;"07/07/2022 15:23:29";"0.1294";"11.5994";"56.43";0,5626;"11.4700"
"204";204;"07/07/2022 15:38:29";"0.1289";"11.6003";"56.26";0,5614;"11.4715"
"205";205;"07/07/2022 15:53:29";"0.1277";"11.5976";"56.09";0,5587;"11.4699"
"206";206;"07/07/2022 16:08:29";"0.1247";"11.5926";"55.74";0,5518;"11.4680"
"207";207;"07/07/2022 16:23:29";"0.1276";"11.5995";"55.39";0,5585;"11.4719"
"208";208;"07/07/2022 16:38:29";"0.1268";"11.5971";"55.04";0,5566;"11.4703"
"209";209;"07/07/2022 16:53:29";"0.1256";"11.5962";"54.87";0,5539;"11.4706"
"210";210;"07/07/2022 17:08:29";"0.1255";"11.5943";"54.52";0,5537;"11.4689"
"211";211;"07/07/2022 17:23:29";"0.1248";"11.5969";"54.17";0,5522;"11.4720"
"212";212;"07/07/2022 17:38:29";"0.1222";"11.5929";"53.65";0,5461;"11.4707"
"213";213;"07/07/2022 17:53:29";"0.1228";"11.5917";"53.30";0,5477;"11.4689"
"214";214;"07/07/2022 18:08:29";"0.1207";"11.5887";"52.95";0,5427;"11.4680"
"215";215;"07/07/2022 18:23:29";"0.1218";"11.5921";"52.43";0,5453;"11.4703"
"216";216;"07/07/2022 18:38:29";"0.1221";"11.5916";"52.07";0,546;"11.4694"
"217";217;"07/07/2022 18:53:29";"0.1185";"11.5904";"51.72";0,5376;"11.4719"
"218";218;"07/07/2022 19:08:29";"0.1198";"11.5925";"51.55";0,5407;"11.4728"
"219";219;"07/07/2022 19:23:29";"0.1217";"11.5944";"51.20";0,545;"11.4728"
"220";220;"07/07/2022 19:38:29";"0.1189";"11.5914";"50.84";0,5387;"11.4725"
"221";221;"07/07/2022 19:53:29";"0.1194";"11.5939";"50.49";0,5398;"11.4745"
"222";222;"07/07/2022 20:08:29";"0.1206";"11.5958";"50.14";0,5425;"11.4752"
"223";223;"07/07/2022 20:23:29";"0.1199";"11.5968";"49.96";0,541;"11.4768"
"224";224;"07/07/2022 20:38:29";"0.1188";"11.5987";"49.60";0,5384;"11.4799"
"225";225;"07/07/2022 20:53:29";"0.1200";"11.6015";"49.43";0,5412;"11.4815"
"226";226;"07/07/2022 21:08:29";"0.1204";"11.6046";"49.07";0,5421;"11.4842"
"227";227;"07/07/2022 21:23:29";"0.1188";"11.6047";"48.72";0,5385;"11.4858"
"228";228;"07/07/2022 21:38:29";"0.1192";"11.6072";"48.36";0,5393;"11.4880"
"229";229;"07/07/2022 21:53:29";"0.1218";"11.6118";"48.18";0,5453;"11.4900"
"230";230;"07/07/2022 22:08:29";"0.1206";"11.6125";"47.82";0,5425;"11.4919"
"231";231;"07/07/2022 22:23:29";"0.1207";"11.6122";"47.65";0,5429;"11.4915"
"232";232;"07/07/2022 22:38:29";"0.1196";"11.6095";"47.47";0,5402;"11.4899"
"233";233;"07/07/2022 22:53:29";"0.1216";"11.6110";"47.29";0,5448;"11.4895"
"234";234;"07/07/2022 23:08:29";"0.1199";"11.6095";"47.11";0,5409;"11.4896"
"235";235;"07/07/2022 23:23:29";"0.1198";"11.6104";"46.93";0,5408;"11.4906"
"236";236;"07/07/2022 23:38:29";"0.1222";"11.6132";"46.75";0,5462;"11.4911"
"237";237;"07/07/2022 23:53:29";"0.1219";"11.6130";"46.57";0,5455;"11.4911"
"238";238;"07/08/2022 00:08:29";"0.1201";"11.6121";"46.39";0,5415;"11.4919"
"239";239;"07/08/2022 00:23:29";"0.1194";"11.6118";"46.21";0,5398;"11.4924"
"240";240;"07/08/2022 00:38:29";"0.1213";"11.6139";"46.03";0,5442;"11.4926"
"241";241;"07/08/2022 00:53:29";"0.1211";"11.6130";"45.85";0,5437;"11.4919"
"242";242;"07/08/2022 01:08:29";"0.1210";"11.6137";"45.85";0,5435;"11.4926"
"243";243;"07/08/2022 01:23:29";"0.1184";"11.6109";"45.67";0,5375;"11.4925"
"244";244;"07/08/2022 01:38:29";"0.1217";"11.6125";"45.49";0,5451;"11.4908"
"245";245;"07/08/2022 01:53:29";"0.1208";"11.6116";"45.31";0,543;"11.4908"
"246";246;"07/08/2022 02:08:29";"0.1208";"11.6119";"45.12";0,5431;"11.4911"
"247";247;"07/08/2022 02:23:29";"0.1223";"11.6125";"45.12";0,5465;"11.4902"
"248";248;"07/08/2022 02:38:29";"0.1197";"11.6104";"44.94";0,5406;"11.4906"
"249";249;"07/08/2022 02:53:29";"0.1228";"11.6128";"44.94";0,5476;"11.4900"
"250";250;"07/08/2022 03:08:29";"0.1208";"11.6107";"44.76";0,543;"11.4899"
"251";251;"07/08/2022 03:23:29";"0.1236";"11.6132";"44.76";0,5493;"11.4896"
"252";252;"07/08/2022 03:38:29";"0.1224";"11.6129";"44.58";0,5467;"11.4905"
"253";253;"07/08/2022 03:53:29";"0.1225";"11.6120";"44.40";0,5469;"11.4895"
"254";254;"07/08/2022 04:08:29";"0.1228";"11.6126";"44.40";0,5477;"11.4897"
"255";255;"07/08/2022 04:23:29";"0.1229";"11.6135";"44.22";0,5478;"11.4906"
"256";256;"07/08/2022 04:38:29";"0.1239";"11.6151";"44.03";0,5501;"11.4912"
"257";257;"07/08/2022 04:53:29";"0.1230";"11.6148";"43.85";0,5481;"11.4918"
"258";258;"07/08/2022 05:08:29";"0.1236";"11.6154";"43.85";0,5495;"11.4918"
"259";259;"07/08/2022 05:23:29";"0.1238";"11.6151";"43.67";0,5498;"11.4913"
"260";260;"07/08/2022 05:38:29";"0.1251";"11.6167";"43.48";0,5528;"11.4916"
"261";261;"07/08/2022 05:53:29";"0.1246";"11.6164";"43.30";0,5518;"11.4918"
"262";262;"07/08/2022 06:08:29";"0.1239";"11.6164";"43.30";0,5501;"11.4925"
"263";263;"07/08/2022 06:23:29";"0.1233";"11.6161";"43.12";0,5488;"11.4928"
"264";264;"07/08/2022 06:38:29";"0.1239";"11.6167";"43.12";0,5502;"11.4928"
"265";265;"07/08/2022 06:53:29";"0.1248";"11.6186";"43.12";0,5521;"11.4938"
"266";266;"07/08/2022 07:08:29";"0.1228";"11.6186";"43.12";0,5475;"11.4958"
"267";267;"07/08/2022 07:23:29";"0.1244";"11.6198";"43.12";0,5513;"11.4954"
"268";268;"07/08/2022 07:38:29";"0.1239";"11.6211";"43.12";0,5501;"11.4971"
"269";269;"07/08/2022 07:53:29";"0.1247";"11.6226";"43.30";0,552;"11.4979"
"270";270;"07/08/2022 08:08:29";"0.1208";"11.6204";"43.48";0,543;"11.4996"
"271";271;"07/08/2022 08:23:29";"0.1226";"11.6232";"43.67";0,547;"11.5006"
"272";272;"07/08/2022 08:38:29";"0.1205";"11.6228";"43.85";0,5423;"11.5024"
"273";273;"07/08/2022 08:53:29";"0.1203";"11.6247";"44.22";0,5418;"11.5044"
"274";274;"07/08/2022 09:08:29";"0.1201";"11.6262";"44.40";0,5413;"11.5061"
"275";275;"07/08/2022 09:23:29";"0.1212";"11.6280";"44.76";0,5438;"11.5069"
"276";276;"07/08/2022 09:38:29";"0.1199";"11.6270";"45.31";0,5409;"11.5072"
"277";277;"07/08/2022 09:53:29";"0.1194";"11.6270";"45.67";0,5398;"11.5076"
"278";278;"07/08/2022 10:08:29";"0.1193";"11.6276";"46.03";0,5395;"11.5083"
"279";279;"07/08/2022 10:23:29";"0.1201";"11.6284";"46.57";0,5415;"11.5083"
"280";280;"07/08/2022 10:38:29";"0.1192";"11.6284";"47.29";0,5393;"11.5092"
"281";281;"07/08/2022 10:53:29";"0.1225";"11.6332";"48.00";0,5468;"11.5108"
"282";282;"07/08/2022 11:08:29";"0.1227";"11.6313";"48.36";0,5474;"11.5086"
"283";283;"07/08/2022 11:23:29";"0.1230";"11.6319";"49.07";0,548;"11.5089"
"284";284;"07/08/2022 11:38:29";"0.1233";"11.6331";"49.43";0,5487;"11.5098"
"285";285;"07/08/2022 11:53:29";"0.1231";"11.6315";"49.96";0,5484;"11.5083"
"286";286;"07/08/2022 12:08:29";"0.1237";"11.6307";"50.67";0,5497;"11.5070"
"287";287;"07/08/2022 12:23:29";"0.1211";"11.6272";"51.55";0,5437;"11.5061"
"288";288;"07/08/2022 12:38:29";"0.1211";"11.6262";"52.43";0,5437;"11.5051"
