date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
10/3/2022,5,45,41.53014,-118.98797,244,20,
10/3/2022,5,46,41.53283,-118.99223,246,20,
10/4/2022,5,47,41.50419,-118.97971,250,20,
10/3/2022,5,48,41.53283,-118.99223,250,20,
10/4/2022,5,51,41.51597,-118.95724,248,20,
10/4/2022,5,52,41.51710,-118.95756,250,20,
10/3/2022,5,53,41.52297,-118.98521,240,20,
10/4/2022,5,54,41.51307,-118.95592,250,20,
10/4/2022,5,62,41.50278,-118.97884,246,20,
10/4/2022,5,64,41.50503,-118.98016,250,20,
10/4/2022,5,65,41.50869,-118.98214,250,20,
10/3/2022,5,68,41.54320,-119.00722,250,20,
10/4/2022,5,69,41.50402,-118.97977,250,20,
10/4/2022,5,70,41.50869,-118.98214,250,20,
11/1/2022,6,68,41.54328,-119.00750,250,20,moved 20m DS
11/1/2022,6,44,41.53281,-118.99215,238,20,
11/1/2022,6,46,41.53282,-118.99223,238,20,
11/1/2022,6,48,41.53283,-118.99223,230,20,
11/1/2022,6,42,41.53209,-118.99332,250,20,moved 25m US
11/2/2022,6,45,41.52957,-118.98726,241,20,moved 50m US
11/15/2022,6,52,41.51708,-118.95759,221,20,
11/15/2022,6,41,41.51381,-118.95628,230,20,
11/15/2022,6,54,41.51307,-118.95592,230,20,
11/15/2022,6,51,41.51604,-118.95727,221,20,
11/15/2022,6,62,41.50279,-118.97884,213,20,
11/16/2022,6,64,41.50551,-118.98015,200,20,
11/16/2022,6,69,41.50402,-118.97977,220,20,
11/16/2022,6,47,41.50410,-118.97977,200,20,
11/16/2022,6,65,41.50941,-118.98287,215,20,
