fid,cat,date,trip_numbe,tag_id,latitude,longitude,signal_str,gain,notes,LakeDist
"79","79",8/17/2021,"6","25",41.54091,-119.00429,"199","25","moved US, bend in creek, dense willows",6314.71963582704
"80","80",9/5/2021,"7","25",41.541,-119.00455,"201","30",Moved DS 10m,6290.14192115421
"81","81",9/18/2021,"8","25",41.54094,-119.00441,"220","20",Moved 5m US,6304.10761038331
"82","82",6/25/2021,"0","26",41.53737,-119.00085,na,na,Tagging event,6843.50840504959
"83","83",6/29/2021,"1","26",41.53738,-119.00085,"238","20","same location as when tagged; undercut bank/pool",6844.59188594958
"84","84",6/24/2021,"0","27",41.53241,-118.98883,na,na,Tagging event,8403.2990354508
"85","85",6/29/2021,"1","27",41.53306,-118.99123,"205","30","fish observed; moved DS from MG4+ to below confluence",8179.18519505906
"86","86",7/6/2021,"2","27",41.53304,-118.99126,"220","20","Same location, shallow pool in willow/aspen thicket",8176.34609736844
"87","87",6/24/2021,"0","28",41.53256,-118.98864,na,na,Tagging event,8423.51442620559
"88","88",6/29/2021,"1","28",41.53251,-118.98874,"210","27","located in head of pool, riffles getting low/near impassable",8413.78081767727
"89","89",7/6/2021,"2","28",41.53212,-118.99546,"122","75","In deep rocky canyon with no access, in Mahogany gorge approx. 300-400m DS of MG3",7744.97090139799
"90","90",7/18/2021,"3","28",41.53236,-118.99571,"134","70","In willow thicket, mahogany gorge below MG3",7713.45643245871
"91","91",7/27/2021,"4","28",41.53237,-118.99585,"204","20","Under LWD, in canyon gorge",7702.09636994265
"92","92",6/24/2021,"0","29",41.51708,-118.95756,na,na,Tagging event,12310.6598459281
"93","93",6/29/2021,"1","29",41.51769,-118.95759,"225","20",in small pool below SWD,12242.9108538276
"94","94",6/23/2021,"0","30",41.54308,-119.00681,na,na,Tagging event,6010.94073567411
"95","95",6/28/2021,"1","30",41.5431,-119.00681,"240","20",Same location as when tagged,6010.19734233019
"96","96",7/6/2021,"2","30",41.54302,-119.00677,"225","20",Same pool as 36,6016.40086126989
"97","97",6/22/2021,"0","31",41.52522,-118.98525,na,na,Tagging event,866.414150011051
"98","98",6/29/2021,"1","31",41.52525,-118.98528,"244","20","Same loation as when tagged; observed in pool",862.40176048755
"99","99",6/24/2021,"0","32",41.51342,-118.95597,na,na,Tagging event,12744.4861142586
"100","100",6/29/2021,"1","32",41.50941,-118.95538,"250","20","confluence of 2 creeks at upper MG; very small pool; @ DS end of efishing site: SLPT 8-15-4",13197.1134170243
"101","101",6/23/2021,"0","33",41.54324,-119.00706,na,na,Tagging event,5984.80649364727
"102","102",6/28/2021,"1","33",41.54327,-119.0071,"241","20",in undercut bank DS of fallen tree,5980.46148070981
"103","103",7/6/2021,"2","33",41.54324,-119.00706,"239","20","Under fallen tree/undercut, same as pool 37",5984.80649364727
"104","104",7/18/2021,"3","33",41.54292,-119.00645,"225","20","Moved US 100 meters, undercut, live in channel, found in pool",6045.95732162413
"105","105",7/27/2021,"4","33",41.54102,-119.00459,"250","20","In shallow riffle, in willow thicket, seen, hiding under rock",6285.97059381842
"106","106",8/12/2021,"5","33",41.54101,-119.00461,"240","20",moving through fast riffle section of creek,6285.15292629348
"107","107",8/17/2021,"6","33",41.54316,-119.00701,"219","20",Moved way DS,5991.81750879628
"108","108",9/4/2021,"7","33",41.54316,-119.007,"215","20",same,5992.62498643053
"109","109",9/18/2021,"8","33",41.54325,-119.00529,"227","20",Moved 8m DS,6054.0569418487
"110","110",6/25/2021,"0","34",41.53731,-119.00082,na,na,Tagging event,6837.61678926576
"111","111",6/29/2021,"1","34",41.53733,-119.00082,"223","20",same location as when tagged,6839.78380007893
"112","112",7/6/2021,"2","34",41.54153,-119.00529,"227","20","at bend in creek, under live in channel, undercut",6202.82841540853
"113","113",7/18/2021,"3","34",41.54155,-119.00527,"226","20","Undercut, live in channel trees, @ bend in creek",6203.01208734483
"114","114",8/12/2021,"5","34",41.54153,-119.00526,na,na,tag sounded but would not give signal strength,6205.0059079024
"115","115",9/5/2021,"7","34",41.54156,-119.00527,"231","20","reappeared after acting faulty, same location",6202.37807016474
"116","116",9/18/2021,"8","34",41.54156,-119.00529,"229","20",Moved 4m DS,6200.92642193715
"117","117",6/24/2021,"0","35",41.51746,-118.95763,na,na,Tagging event,12268.455566454
"118","118",6/29/2021,"1","35",41.51748,-118.95763,"223","20",In deeper riffle with undercut bank,12266.2342781708
"119","119",7/7/2021,"2","35",41.51748,-118.95763,"247","20","undercut riffle, willow/aspen thicket",12266.2342781708
"120","120",6/23/2021,"0","36",41.54308,-119.00681,na,na,Tagging event,6010.94073567411
"121","121",6/28/2021,"1","36",41.5431,-119.00681,"215","20",Same location as when tagged,6010.19734233019
"122","122",7/6/2021,"2","36",41.54302,-119.00677,"229","20","US of campground, pool",6016.40086126989
"123","123",7/18/2021,"3","36",41.543,-119.00671,"242","20","Moved US one pool, riffle nearly impassable",6021.98916068754
"124","124",7/27/2021,"4","36",41.54302,-119.00676,"234","20","Same location, bend in creek, undercut bank",6017.2083462031
"125","125",8/12/2021,"5","36",41.54302,-119.00676,"20","233","@ bend in creek, undercut bank",6017.2083462031
"126","126",8/17/2021,"6","36",41.54308,-119.00669,"226","20",same location,6020.63054087881
"127","127",9/4/2021,"7","36",41.54308,-119.00669,"245","20",,6020.63054087881
"128","128",9/18/2021,"8","36",41.54308,-119.00669,"250","20",same,6020.63054087881
"129","129",6/23/2021,"0","37",41.54324,-119.00706,na,na,Tagging event,5984.80649364727
"130","130",6/28/2021,"1","37",41.54319,-119.00708,"211","27","Moved US one pool; looked like it was holding on a redd pot",5985.05003212556
"131","131",7/6/2021,"2","37",41.54324,-119.00706,"226","20","DS of campground, pool at bend in creek",5984.80649364727
"132","132",6/22/2021,"0","38",41.53277,-118.99035,na,na,Tagging event,8257.11610843723
"133","133",6/29/2021,"1","38",41.53139,-118.98865,"223","20","Moved US 200+meters; in willow thicket",101.895875056347
"134","134",7/6/2021,"2","38",41.53172,-118.98888,"192","30","in insane willow thicket, fish moving",52.5428299279154
"135","135",6/22/2021,"0","39",41.53197,-118.99322,na,na,Tagging event,7968.20670276917
"136","136",6/29/2021,"1","39",41.53205,-118.99329,"206","30","in sinuous pool, fish observed alive",7968.92140991541
"137","137",7/6/2021,"2","39",41.53209,-118.99329,"224","20","Shallow pool @ creek bend, OBSERVED ALIVE, Same location",7971.70663319317
"138","138",7/18/2021,"3","39",41.53207,-118.99332,"223","20","Bend in creek, heron tracks/active hunting observed, poor water quality",7968.23304063756
"139","139",7/28/2021,"4","39",41.53207,-118.99332,"230","20","Same location, bend in creek, Seen alive",7968.23304063756
"140","140",6/23/2021,"0","40",41.54155,-119.00477,na,na,Tagging event,6239.30368894502
"141","141",6/28/2021,"1","40",41.54123,-119.00474,"226","20",Same location as when tagged,6261.76912869048
"142","142",8/12/2021,"5","40",41.54123,-119.00474,na,na,"captured during efishing, grew 2 cm, lost 4 grams in weight",6261.76912869048
