date,trip_number,tag_id,latitude,longitude,signal_strength,gain,notes
7/7/2021,2,21,41.51205,-118.98548,229,20,"Smae location, LIKELY DEAD TAG"
7/7/2021,2,24,41.51319,-118.98618,213,20,"Same location, below creek ford, dense willows"
7/7/2021,2,35,41.51748,-118.95763,247,20,"undercut riffle, willow/aspen thicket"
7/6/2021,2,11,41.53173,-118.99396,231,20,"Same location, small pool under willow thicket"
7/6/2021,2,12,41.52699,-118.98556,232,25,"Same location, US of creek ford"
7/6/2021,2,20,41.54129,-119.00484,248,20,REALLY undercut bank in willow thicket
7/6/2021,2,22,41.53194,-118.99344,223,20,"small pool under willows, OBSERVED"
7/6/2021,2,23,41.53291,-118.99072,220,20,"Same location, in willow thicket, under undercut"
7/6/2021,2,25,41.54097,-119.00445,212,25,"Same location, in willow thicket"
7/6/2021,2,27,41.53304,-118.99126,220,20,"Same location, shallow pool in willow/aspen thicket"
7/6/2021,2,28,41.53212,-118.99546,122,75,"In deep rocky canyon with no access, in Mahogany gorge approx. 300-400m DS of MG3"
7/6/2021,2,30,41.54302,-119.00677,225,20,Same pool as 36
7/6/2021,2,33,41.54324,-119.00706,239,20,"Under fallen tree/undercut, same as pool 37"
7/6/2021,2,34,41.54153,-119.00529,227,20,"at bend in creek, under live in channel, undercut"
7/6/2021,2,36,41.54302,-119.00677,229,20,"US of campground, pool"
7/6/2021,2,37,41.54324,-119.00706,226,20,"DS of campground, pool at bend in creek"
7/6/2021,2,38,41.53172,-118.98888,192,30,"in insane willow thicket, fish moving"
7/6/2021,2,39,41.53209,-118.99329,224,20,"Shallow pool @ creek bend, OBSERVED ALIVE, Same location"
7/20/2021,3,13,41.51041,-118.98359,193,33,"tag acting funny (tag drift, altitude?) found in debris pile"
7/20/2021,3,15,41.50307,-118.97906,223,30,"in riffle, fish recorded moving"
7/20/2021,3,18,41.50281,-118.97882,229,20,"Same location, in head of pool"
7/20/2021,3,21,41.51202,-118.98544,228,20,"Previously thought dead, observed alive @ head of pool"
7/20/2021,3,24,41.51332,-118.98614,234,20,"Observed alive, narrow, incised part of creek, moved DS slightly"
7/19/2021,3,12,41.52697,-118.9856,241,20,"Fish observed alive, same location"
7/19/2021,3,17,41.51582,-118.95726,232,20,"Same location, observed alive, @ bend in creek"
7/18/2021,3,20,41.54123,-119.00479,208,20,"same location, in willow thicket, dense riparian vegetation"
7/18/2021,3,22,41.53193,-118.99347,236,20,"Same location, in pool, riparian vegetation, willow thicket"
7/18/2021,3,23,41.53292,-118.99075,210,20,"Observed alive, same location, @ bend in creek"
7/18/2021,3,25,41.54096,-119.00443,206,25,"Same location, deep willow thicket, in riffle"
7/18/2021,3,28,41.53236,-118.99571,134,70,"In willow thicket, mahogany gorge below MG3"
7/18/2021,3,33,41.54292,-119.00645,225,20,"Moved US 100 meters, undercut, live in channel, found in pool"
7/18/2021,3,34,41.54155,-119.00527,226,20,"Undercut, live in channel trees, @ bend in creek"
7/18/2021,3,36,41.543,-119.00671,242,20,"Moved US one pool, riffle nearly impassable"
7/18/2021,3,39,41.53207,-118.99332,223,20,"Bend in creek, heron tracks/active hunting observed, poor water quality"
7/28/2021,4,13,41.51036,-118.98363,176,30,Seen in Willows
7/28/2021,4,15,41.50306,-118.97906,226,20,"in riffle, moving"
7/28/2021,4,17,41.51582,-118.95726,227,20,Same location
7/28/2021,4,18,41.50284,-118.97884,224,20,"Same location, alive, undercut bank, willows"
7/28/2021,4,21,41.51201,-118.98544,246,20,"Under LWD, same"
7/28/2021,4,23,41.53292,-118.99077,221,20,"Seen alive, bend in creek, willow thickets, Same location"
7/28/2021,4,24,41.51328,-118.9861,233,20,"Same location, Seen alive"
7/28/2021,4,39,41.53207,-118.99332,230,20,"Same location, bend in creek, Seen alive"
7/27/2021,4,20,41.54122,-119.00478,220,20,"moved 5m US, undercut in deep riffle, LIKELY DEAD AT THIS RECAP"
7/27/2021,4,25,41.54094,-119.00444,195,30,"Dense willow thicket, Same location"
7/27/2021,4,28,41.53237,-118.99585,204,20,"Under LWD, in canyon gorge"
7/27/2021,4,33,41.54102,-119.00459,250,20,"In shallow riffle, in willow thicket, seen, hiding under rock"
7/27/2021,4,36,41.54302,-119.00676,234,20,"Same location, bend in creek, undercut bank"
8/13/2021,5,13,41.50872,-118.98218,199,35,"below plunge pool, moved US from previous week"
8/13/2021,5,15,41.503,-118.97902,235,20,in small pool
8/13/2021,5,18,41.50281,-118.97886,236,20,seen with 3 other fish in pool
8/13/2021,5,21,41.51201,-118.98544,250,20,"undercut, behind rock"
8/12/2021,5,17,41.51582,-118.95726,218,20,same location; upper mahogany
8/12/2021,5,25,41.54094,-119.00442,200,25,under willows
8/12/2021,5,33,41.54101,-119.00461,240,20,moving through fast riffle section of creek
8/12/2021,5,34,41.54153,-119.00526,na,na,tag sounded but would not give signal strength
8/12/2021,5,36,41.54302,-119.00676,20,233,"@ bend in creek, undercut bank"
8/12/2021,5,40,41.54123,-119.00474,na,na,"captured during efishing, grew 2 cm, lost 4 grams in weight"
8/19/2021,6,17,41.51582,-118.95726,202,20,
8/18/2021,6,13,41.50911,-118.9827,201,30,under riparian vegetation; seen
8/18/2021,6,15,41.50306,-118.97903,232,20,
8/18/2021,6,21,41.51201,-118.98544,250,20,Undercut behind rock
8/17/2021,6,25,41.54091,-119.00429,199,25,"moved US, bend in creek, dense willows"
8/17/2021,6,33,41.54316,-119.00701,219,20,Moved way DS
8/17/2021,6,36,41.54308,-119.00669,226,20,same location
9/5/2021,7,17,41.51582,-118.95726,250,20,"same, hiding in live in channel tree"
9/5/2021,7,25,41.541,-119.00455,201,30,Moved DS 10m
9/5/2021,7,34,41.54156,-119.00527,231,20,"reappeared after acting faulty, same location"
9/4/2021,7,13,41.51031,-118.98336,153,50,bad signal
9/4/2021,7,15,41.50297,-118.97899,231,20,
9/4/2021,7,18,41.5029,-118.97883,238,20,same; heavy grazing in SC2 area
9/4/2021,7,21,41.51202,-118.98547,240,20,same
9/4/2021,7,33,41.54316,-119.007,215,20,same
9/4/2021,7,36,41.54308,-119.00669,245,20,
9/18/2021,8,13,41.5103,-118.98368,157,35,same; observed alive
9/18/2021,8,17,41.51582,-118.95722,228,25,@ bend in creek
9/18/2021,8,21,41.51202,-118.98547,244,20,same
9/18/2021,8,25,41.54094,-119.00441,220,20,Moved 5m US
9/18/2021,8,33,41.54325,-119.00529,227,20,Moved 8m DS
9/18/2021,8,34,41.54156,-119.00529,229,20,Moved 4m DS
9/18/2021,8,36,41.54308,-119.00669,250,20,same
