Comments Form,,,,,,,,,,
Date,Reach #,SO,Channel Unit and Type ,Waypoint name,Latitude/Northing,Longitude/Easting,Zone:,Datum:,Comments,Site description
6/17/2015,MC1-206,47,SSMC8,MSO47,0330148,4600986,11,NAD 83,Fish present.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,48,FTRF9,MSO48,0330155,4600986,11,NAD 83,Pebble count,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,49,SSMC9,MSO49,0330159,4600988,11,NAD 83,Mussels present.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,50,FNRN10,MSO50,0330163,4600989,11,NAD 83,,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/17/2015,MC1-206,NA,NA,MC206END,0330166,4600992,11,NAD 83,End channel units.,Only older willows present. Slight entrenchment. Lack of meanders. Predominantly grass/forbs above bankfull. Addition of gravel/cobble would be good first restoration step. Culvert is actually helping upstream units by backing up water -> downstream units are more entrenched. Predominantly grass/forb innter riparian zone bordered by sagebrush at the margins. Intermittant willow cover. Some sagebrush and rose in inner riparian zone. Many small fish sited. Mussels present.
6/18/2015,MC2-257,61,FNRN1,MSO61,0330687,4601195,11,NAD 83,Lateral pool and width of channel .39 m max depth. 2 m long.4,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,62,FTRF2,MSO62,0330701,4601186,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,63,FNRN3,MSO63,0330707,4601186,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,64,FTRF4,MSO64,0330724,1601190,11,NAD 83,Mussels. Unstable island.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,65,SSMC1,MSO65,0330735,4601191,11,NAD 83,Unstable island.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,66,FTRF5,MSO66,0330744,4601195,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,67,SDDD2,MSO67,0330743,4601196,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,68,FTRF6,MSO68,0330743,4601185,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,69,SSLS3,MSO69,0330755,4601165,11,NAD 83,Fish observed.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,70,FTRF7,MSO70,0330772,4601177,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,71,SSLS4,MSO71,0330776,4601173,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,72,FNRN8,MSO72,0330780,4601170,11,NAD 83,LCT female FL ~550 mm. Live mussels.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,73,FTRF9,MSO73,0330793,4601170,11,NAD 83,Live mussels.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,74,FNRN10,MSO74,0330805,4601163,11,NAD 83,Live mussels.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,75,FTRF11,MSO75,0330814,4601165,11,NAD 83,Spent fish in riffle - adult LCT ~ 400+ mm FL. Earlier crews cleared stream for electrofishing - branches on bank.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,76,SSMC5,MSO76,0330830,4601168,11,NAD 83,Spent LCT ~ 390 mm FL.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,77,FNRN12,MSO77,0330833,4601170,11,NAD 83,More stream clearing for fish crews' passage.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,78,SDDD6,MSO78,0330860,4601183,11,NAD 83,"Spent LCT ~ 510 mm FL, no ad clip, likely female.","Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,79,SSLS7,MSO79,0330862,4601184,11,NAD 83,Live mussels.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,80,FTRF13,MSO80,0330870,4604483,11,NAD 83,Live mussels.,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/18/2015,MC2-257,NA,NA,MC257END,0330869,4601187,11,NAD 83,,"Starts upstream from fish trap and ends at the road. Heavily used by tribal members for fishing during spawning run. Lots of spawning occurs here - many redds. Wide, slow water. Medium-to-heavy willow cover and woody shrubs. Lots of sedges - stream doesn't seem too entrenched. Wide open floodplain. Dry sagebrush and woody shrubs outside of inner riparian zone. Longer channel units. Large flowering veg mats."
6/19/2015,MC3-380,121,SSMC1,MSO121,0332659,4600931,11,NAD 83,,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
6/19/2015,MC3-380,122,SSLS2,MSO122,0332664,4600923,11,NAD 83,,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
6/19/2015,MC3-380,123,FTRF1,MSO123,0332667,4600931,11,NAD 83,Small mid-channel unstable island. Willow creating small pool habitat. This right bank riparian area includes campfire ring and occasionally used area for camping/parking.,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
6/19/2015,MC3-380,124,SSLS3,MSO124,0332671,4600915,11,NAD 83,Juv LCT spotted. See comments for SO123 regarding campsite.,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
6/19/2015,MC3-380,125,FTRF2,MSO125,0332671,4600913,11,NAD 83,,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
6/19/2015,MC3-380,126,SSMC4,MSO126,0332692,4600899,11,NAD 83,,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
6/19/2015,MC3-380,127,FTRF3,MSO127,0332694,4600900,11,NAD 83,,"Lower down in aspen reach. Starts at first campsite and ends just short of second campsite. Lots of both willow and aspen - lots of willow in the creek. Lots of medium-large aspen, some small ones. Nice pools with many fish spotted. Valley ~30 m wide between tall slopes rising sharply on each side. Stream seems to have good access to floodplain. ""Stringy"" unusualy macrophytes (bryophytes?) in water and on banks. Dense vegetation on both sides. Lots of woody shrubs. Stream is wide here. In some SO#'s (121-123, 126), bare ground is from overstory or fallen trees and not problems. Poor GPS accuracy+/- 15 ft. Fish presence noted on comments sheet is based on channel unit survey on 6/18/15."
